age,workclass,education-num,marital-status,relationship,race,sex,hours-per-week,income
28,Private,15,Never-married,Not-in-family,White,Male,55,1
41,Private,9,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,0
53,Private,9,Married-civ-spouse,Husband,White,Male,50,1
31,Private,9,Married-civ-spouse,Husband,White,Male,45,0
34,Local-gov,13,Married-spouse-absent,Not-in-family,White,Female,40,0
34,Private,9,Married-civ-spouse,Husband,White,Male,40,1
34,Private,9,Separated,Unmarried,White,Male,40,0
52,Private,10,Divorced,Unmarried,White,Female,40,0
49,Private,9,Married-civ-spouse,Husband,White,Male,15,0
36,Private,10,Divorced,Not-in-family,White,Male,50,0
22,Private,9,Never-married,Own-child,White,Female,40,0
42,Private,10,Married-spouse-absent,Not-in-family,White,Male,40,1
57,Private,4,Widowed,Not-in-family,White,Female,10,0
19,Private,10,Never-married,Own-child,White,Male,35,0
36,Private,9,Never-married,Not-in-family,White,Female,40,0
25,Private,14,Married-civ-spouse,Not-in-family,White,Male,40,0
36,Private,10,Married-civ-spouse,Husband,White,Male,60,0
50,Private,9,Divorced,Unmarried,White,Female,35,0
36,State-gov,14,Never-married,Not-in-family,White,Female,40,0
18,Private,7,Never-married,Own-child,White,Female,5,0
54,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,60,1
50,State-gov,13,Married-civ-spouse,Husband,White,Male,40,1
38,Private,14,Married-civ-spouse,Husband,White,Male,48,1
40,Local-gov,13,Never-married,Not-in-family,White,Male,50,1
35,Private,13,Never-married,Not-in-family,White,Male,50,1
34,Private,10,Married-civ-spouse,Husband,White,Male,40,1
44,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,60,1
50,Private,12,Married-civ-spouse,Husband,White,Male,50,1
37,Private,10,Married-civ-spouse,Husband,White,Male,40,0
47,Private,9,Divorced,Not-in-family,White,Female,38,0
50,Self-emp-inc,13,Widowed,Unmarried,White,Male,65,1
31,Private,11,Married-civ-spouse,Wife,White,Female,40,0
48,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,40,1
60,Self-emp-not-inc,3,Married-civ-spouse,Husband,White,Male,40,0
24,Private,9,Never-married,Own-child,Black,Male,40,0
22,Private,10,Never-married,Not-in-family,White,Male,40,0
57,Private,6,Divorced,Other-relative,White,Female,70,0
37,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,50,1
18,Private,7,Never-married,Own-child,White,Female,16,0
25,Self-emp-inc,11,Never-married,Unmarried,White,Male,55,0
28,Private,9,Never-married,Unmarried,White,Male,40,0
33,Private,7,Never-married,Not-in-family,Black,Male,40,0
24,Private,9,Married-civ-spouse,Wife,White,Female,40,0
19,Self-emp-not-inc,10,Never-married,Own-child,White,Female,16,0
51,Private,10,Married-civ-spouse,Husband,White,Male,48,1
22,Private,9,Never-married,Own-child,White,Female,40,0
37,Federal-gov,12,Married-civ-spouse,Wife,White,Female,40,1
19,Private,10,Never-married,Own-child,White,Female,10,0
66,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,50,0
29,Federal-gov,10,Married-civ-spouse,Husband,White,Male,60,0
31,Federal-gov,9,Never-married,Own-child,White,Female,40,0
60,Private,4,Divorced,Not-in-family,White,Female,35,0
38,Private,13,Married-civ-spouse,Husband,White,Male,40,0
67,Private,10,Divorced,Not-in-family,White,Female,40,0
39,Private,8,Divorced,Not-in-family,White,Female,40,0
38,Private,10,Married-civ-spouse,Husband,Black,Male,50,0
40,Self-emp-not-inc,9,Separated,Other-relative,White,Male,40,0
49,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,40,1
31,State-gov,10,Never-married,Own-child,White,Female,37,0
34,Private,9,Married-civ-spouse,Husband,White,Male,40,0
33,Private,7,Never-married,Not-in-family,White,Female,40,0
27,Private,9,Never-married,Not-in-family,White,Male,40,0
49,Self-emp-inc,10,Married-civ-spouse,Husband,White,Male,70,1
59,Self-emp-not-inc,3,Married-civ-spouse,Husband,White,Male,15,0
45,Private,11,Divorced,Not-in-family,White,Female,8,0
40,Private,14,Married-civ-spouse,Husband,White,Male,45,1
32,Private,10,Divorced,Unmarried,Black,Male,40,0
42,Private,13,Married-spouse-absent,Own-child,Asian-Pac-Islander,Female,40,0
44,Private,13,Married-civ-spouse,Husband,White,Male,40,1
62,Local-gov,11,Divorced,Not-in-family,Black,Female,40,0
47,Private,9,Married-civ-spouse,Husband,White,Male,40,0
41,Local-gov,14,Married-civ-spouse,Husband,White,Male,60,0
42,Federal-gov,14,Married-civ-spouse,Husband,White,Male,40,1
61,Private,9,Married-civ-spouse,Husband,White,Male,40,0
40,Self-emp-not-inc,11,Married-civ-spouse,Husband,White,Male,60,0
33,Private,16,Divorced,Not-in-family,White,Male,60,1
39,Private,14,Divorced,Unmarried,Black,Female,60,1
22,Private,10,Never-married,Own-child,White,Male,25,0
32,Private,10,Divorced,Not-in-family,White,Female,38,0
44,State-gov,7,Separated,Not-in-family,Black,Male,40,0
34,Self-emp-inc,13,Married-civ-spouse,Husband,White,Male,60,1
43,Private,13,Married-civ-spouse,Husband,White,Male,38,1
54,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,40,1
39,Private,13,Never-married,Not-in-family,White,Male,40,0
38,State-gov,9,Divorced,Unmarried,White,Female,20,0
23,Private,10,Never-married,Own-child,Asian-Pac-Islander,Female,40,0
41,Private,9,Married-civ-spouse,Husband,White,Male,40,0
31,Local-gov,13,Never-married,Not-in-family,White,Female,40,0
32,Private,13,Divorced,Not-in-family,White,Male,50,1
37,Private,9,Married-civ-spouse,Husband,White,Male,40,0
53,Private,9,Widowed,Not-in-family,White,Male,40,0
35,Private,13,Married-civ-spouse,Husband,White,Male,48,1
47,Federal-gov,9,Married-civ-spouse,Husband,White,Male,40,1
39,Private,10,Divorced,Not-in-family,White,Female,45,1
61,Private,9,Married-civ-spouse,Husband,White,Male,20,0
33,Private,13,Married-civ-spouse,Husband,White,Male,43,1
50,Private,11,Married-civ-spouse,Husband,White,Male,40,1
39,Private,13,Married-civ-spouse,Husband,White,Male,55,1
34,Private,10,Never-married,Unmarried,White,Female,40,0
34,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,50,0
48,Private,12,Divorced,Not-in-family,White,Male,44,0
