person_gender,person_income,person_education,loan_status
male,144855.0,highschool,0
female,73024.0,bachelor,1
male,38473.0,master,1
female,94812.0,highschool,0
male,109089.0,bachelor,0
male,150692.0,master,0
female,26137.0,highschool,1
female,40881.0,bachelor,1
male,182316.0,master,0
male,69387.0,highschool,1
male,256862.0,bachelor,1
female,105627.0,master,0
male,58364.0,highschool,1
male,27174.0,bachelor,0
female,118417.0,master,1
male,27124.0,highschool,0
female,132809.0,bachelor,0
male,85223.0,master,1
male,65738.0,highschool,1
female,22882.0,bachelor,1
female,28752.0,master,0
male,145002.0,highschool,0
male,29875.0,bachelor,0
male,126727.0,master,0
male,17683.0,highschool,1
male,101575.0,bachelor,0
male,203368.0,master,0
male,80452.0,highschool,1
female,71255.0,bachelor,1
female,22583.0,master,1
