loan_intent,person_age,loan_status
VENTURE,25.0,1
PERSONAL,25.0,0
DEBTCONSOLIDATION,22.0,1
HOMEIMPROVEMENT,26.0,0
MEDICAL,26.0,0
HOMEIMPROVEMENT,26.0,0
DEBTCONSOLIDATION,22.0,1
DEBTCONSOLIDATION,24.0,0
DEBTCONSOLIDATION,23.0,0
EDUCATION,23.0,1
EDUCATION,26.0,1
EDUCATION,23.0,1
EDUCATION,22.0,1
VENTURE,23.0,1
HOMEIMPROVEMENT,24.0,0
VENTURE,26.0,1
DEBTCONSOLIDATION,22.0,1
EDUCATION,24.0,1
VENTURE,23.0,1
HOMEIMPROVEMENT,21.0,1
EDUCATION,22.0,1
EDUCATION,23.0,1
VENTURE,22.0,1
HOMEIMPROVEMENT,24.0,0
DEBTCONSOLIDATION,24.0,0
DEBTCONSOLIDATION,23.0,0
MEDICAL,26.0,0
MEDICAL,23.0,0
DEBTCONSOLIDATION,23.0,0
EDUCATION,23.0,1
