person_education,loan_intent,loan_status
Bachelor,VENTURE,1
High School,PERSONAL,0
High School,DEBTCONSOLIDATION,0
Bachelor,HOMEIMPROVEMENT,1
Master,MEDICAL,1
Associate,HOMEIMPROVEMENT,1
Bachelor,DEBTCONSOLIDATION,1
Associate,DEBTCONSOLIDATION,0
Associate,DEBTCONSOLIDATION,0
Master,EDUCATION,1
Associate,EDUCATION,1
Master,EDUCATION,1
High School,EDUCATION,1
Bachelor,VENTURE,1
High School,HOMEIMPROVEMENT,1
Associate,VENTURE,1
High School,DEBTCONSOLIDATION,0
Associate,EDUCATION,1
Associate,VENTURE,1
Master,HOMEIMPROVEMENT,1
Master,EDUCATION,1
Bachelor,EDUCATION,1
Master,VENTURE,1
High School,HOMEIMPROVEMENT,1
Bachelor,DEBTCONSOLIDATION,1
High School,DEBTCONSOLIDATION,0
High School,MEDICAL,0
Associate,MEDICAL,0
Associate,DEBTCONSOLIDATION,0
Master,EDUCATION,1
