person_gender,person_home_ownership,person_age,loan_status
male,RENT,25.0,0
female,RENT,25.0,1
male,RENT,22.0,1
female,RENT,26.0,1
male,RENT,26.0,0
male,RENT,26.0,0
female,MORTGAGE,22.0,1
female,RENT,24.0,1
male,RENT,23.0,0
male,RENT,23.0,0
male,MORTGAGE,26.0,0
female,RENT,23.0,1
male,RENT,22.0,1
male,OWN,23.0,0
female,RENT,24.0,1
male,OWN,26.0,0
female,RENT,22.0,1
male,RENT,24.0,0
male,RENT,23.0,0
female,OWN,21.0,0
female,MORTGAGE,22.0,1
male,RENT,23.0,0
male,MORTGAGE,22.0,0
male,RENT,24.0,0
male,RENT,24.0,0
male,RENT,23.0,0
male,RENT,26.0,0
male,RENT,23.0,0
female,RENT,23.0,1
female,OWN,23.0,0
