person_education,loan_status
Master,1
High School,0
Bachelor,0
Bachelor,0
Master,1
Associate,0
Master,1
Bachelor,0
Associate,0
Associate,0
Bachelor,0
Master,1
Associate,0
Associate,0
High School,0
High School,0
Bachelor,0
Bachelor,0
Master,1
High School,0
Associate,0
Bachelor,0
Bachelor,0
Associate,0
Bachelor,0
Master,1
Associate,0
Bachelor,0
High School,0
High School,0
Associate,0
Associate,0
Bachelor,0
Master,1
Master,1
High School,0
High School,0
Associate,0
High School,0
Associate,0
Associate,0
High School,0
Bachelor,0
Bachelor,0
Associate,0
Bachelor,0
Bachelor,0
Bachelor,0
High School,0
Bachelor,0
Bachelor,0
Bachelor,0
Bachelor,0
Associate,0
Bachelor,0
High School,0
Associate,0
Associate,0
Bachelor,0
Associate,0
