loan_intent,person_income,person_gender,loan_status
PERSONAL,202525.0,female,0
VENTURE,97195.0,male,1
PERSONAL,135292.0,female,0
PERSONAL,69353.0,male,0
DEBTCONSOLIDATION,102114.0,female,0
EDUCATION,51747.0,female,0
PERSONAL,18367.0,male,0
PERSONAL,91541.0,female,0
EDUCATION,117668.0,male,1
MEDICAL,70930.0,female,0
PERSONAL,28372.0,female,0
MEDICAL,102011.0,male,0
DEBTCONSOLIDATION,79098.0,male,0
HOMEIMPROVEMENT,41468.0,female,0
EDUCATION,115130.0,male,1
EDUCATION,82432.0,male,1
DEBTCONSOLIDATION,204962.0,male,0
HOMEIMPROVEMENT,208059.0,female,1
PERSONAL,124437.0,male,0
EDUCATION,144904.0,female,1
EDUCATION,221559.0,male,1
HOMEIMPROVEMENT,85246.0,male,0
EDUCATION,90938.0,male,1
EDUCATION,28367.0,male,0
DEBTCONSOLIDATION,22466.0,male,0
MEDICAL,110953.0,male,0
HOMEIMPROVEMENT,24751.0,male,0
VENTURE,158338.0,female,1
EDUCATION,241030.0,male,1
VENTURE,210705.0,male,1
EDUCATION,25416.0,male,0
DEBTCONSOLIDATION,182316.0,male,0
EDUCATION,300951.0,male,1
MEDICAL,109089.0,male,0
DEBTCONSOLIDATION,109061.0,male,0
PERSONAL,192351.0,male,0
EDUCATION,60841.0,female,1
VENTURE,27201.0,female,1
VENTURE,88950.0,male,1
EDUCATION,100756.0,male,1
PERSONAL,85496.0,male,0
VENTURE,51305.0,male,1
EDUCATION,178439.0,male,1
VENTURE,21790.0,female,1
HOMEIMPROVEMENT,91001.0,female,1
VENTURE,331034.0,female,1
VENTURE,205060.0,female,1
PERSONAL,333399.0,male,0
HOMEIMPROVEMENT,193076.0,female,1
EDUCATION,205144.0,female,1
PERSONAL,71599.0,female,0
HOMEIMPROVEMENT,311952.0,female,1
VENTURE,94830.0,male,1
MEDICAL,222975.0,female,0
HOMEIMPROVEMENT,116439.0,female,1
EDUCATION,240932.0,female,1
HOMEIMPROVEMENT,95767.0,female,1
DEBTCONSOLIDATION,95753.0,female,0
PERSONAL,15252.0,female,0
HOMEIMPROVEMENT,67265.0,female,1
