loan_intent,person_age,loan_status
PERSONAL,25.0,0
VENTURE,23.0,1
PERSONAL,25.0,0
PERSONAL,25.0,0
DEBTCONSOLIDATION,25.0,0
EDUCATION,25.0,0
PERSONAL,22.0,0
PERSONAL,23.0,0
EDUCATION,26.0,0
MEDICAL,25.0,0
PERSONAL,23.0,0
MEDICAL,24.0,0
DEBTCONSOLIDATION,26.0,0
HOMEIMPROVEMENT,25.0,0
EDUCATION,23.0,0
EDUCATION,26.0,0
DEBTCONSOLIDATION,26.0,0
HOMEIMPROVEMENT,26.0,0
PERSONAL,23.0,0
EDUCATION,22.0,0
EDUCATION,23.0,0
HOMEIMPROVEMENT,24.0,0
EDUCATION,24.0,0
EDUCATION,21.0,0
DEBTCONSOLIDATION,22.0,0
MEDICAL,24.0,0
HOMEIMPROVEMENT,26.0,0
VENTURE,21.0,1
EDUCATION,26.0,0
VENTURE,25.0,1
EDUCATION,21.0,0
DEBTCONSOLIDATION,23.0,0
EDUCATION,24.0,0
MEDICAL,26.0,0
DEBTCONSOLIDATION,23.0,0
PERSONAL,25.0,0
EDUCATION,26.0,0
VENTURE,23.0,1
VENTURE,24.0,1
EDUCATION,23.0,0
PERSONAL,22.0,0
VENTURE,22.0,1
EDUCATION,26.0,0
VENTURE,22.0,1
HOMEIMPROVEMENT,24.0,0
VENTURE,22.0,1
VENTURE,26.0,1
PERSONAL,23.0,0
HOMEIMPROVEMENT,26.0,0
EDUCATION,25.0,0
PERSONAL,22.0,0
HOMEIMPROVEMENT,25.0,0
VENTURE,23.0,1
MEDICAL,22.0,0
HOMEIMPROVEMENT,25.0,0
EDUCATION,24.0,0
HOMEIMPROVEMENT,24.0,0
DEBTCONSOLIDATION,24.0,0
PERSONAL,21.0,0
HOMEIMPROVEMENT,24.0,0
