loan_intent,person_emp_exp,loan_status
PERSONAL,1,0
VENTURE,1,1
PERSONAL,3,0
PERSONAL,1,0
DEBTCONSOLIDATION,7,0
EDUCATION,3,0
PERSONAL,0,0
PERSONAL,4,0
EDUCATION,0,0
MEDICAL,0,0
PERSONAL,0,0
MEDICAL,3,0
DEBTCONSOLIDATION,2,0
HOMEIMPROVEMENT,2,0
EDUCATION,4,0
EDUCATION,6,0
DEBTCONSOLIDATION,2,0
HOMEIMPROVEMENT,4,0
PERSONAL,0,0
EDUCATION,0,0
EDUCATION,2,0
HOMEIMPROVEMENT,2,0
EDUCATION,0,0
EDUCATION,0,0
DEBTCONSOLIDATION,0,0
MEDICAL,0,0
HOMEIMPROVEMENT,2,0
VENTURE,0,1
EDUCATION,3,0
VENTURE,7,1
EDUCATION,1,0
DEBTCONSOLIDATION,0,0
EDUCATION,2,0
MEDICAL,5,0
DEBTCONSOLIDATION,0,0
PERSONAL,1,0
EDUCATION,7,0
VENTURE,0,1
VENTURE,3,1
EDUCATION,0,0
PERSONAL,1,0
VENTURE,1,1
EDUCATION,0,0
VENTURE,0,1
HOMEIMPROVEMENT,0,0
VENTURE,0,1
VENTURE,2,1
PERSONAL,1,0
HOMEIMPROVEMENT,4,0
EDUCATION,0,0
PERSONAL,0,0
HOMEIMPROVEMENT,0,0
VENTURE,0,1
MEDICAL,2,0
HOMEIMPROVEMENT,2,0
EDUCATION,4,0
HOMEIMPROVEMENT,2,0
DEBTCONSOLIDATION,1,0
PERSONAL,0,0
HOMEIMPROVEMENT,2,0
