loan_intent,person_age,person_gender,loan_status
PERSONAL,25.0,female,0
VENTURE,23.0,male,1
PERSONAL,25.0,female,0
PERSONAL,25.0,male,0
DEBTCONSOLIDATION,25.0,female,0
EDUCATION,25.0,female,0
PERSONAL,22.0,male,0
PERSONAL,23.0,female,0
EDUCATION,26.0,male,0
MEDICAL,25.0,female,0
PERSONAL,23.0,female,0
MEDICAL,24.0,male,0
DEBTCONSOLIDATION,26.0,male,0
HOMEIMPROVEMENT,25.0,female,0
EDUCATION,23.0,male,0
EDUCATION,26.0,male,0
DEBTCONSOLIDATION,26.0,male,0
HOMEIMPROVEMENT,26.0,female,0
PERSONAL,23.0,male,0
EDUCATION,22.0,female,0
EDUCATION,23.0,male,0
HOMEIMPROVEMENT,24.0,male,0
EDUCATION,24.0,male,0
EDUCATION,21.0,male,0
DEBTCONSOLIDATION,22.0,male,0
MEDICAL,24.0,male,0
HOMEIMPROVEMENT,26.0,male,0
VENTURE,21.0,female,1
EDUCATION,26.0,male,0
VENTURE,25.0,male,1
EDUCATION,21.0,male,0
DEBTCONSOLIDATION,23.0,male,0
EDUCATION,24.0,male,0
MEDICAL,26.0,male,0
DEBTCONSOLIDATION,23.0,male,0
PERSONAL,25.0,male,0
EDUCATION,26.0,female,0
VENTURE,23.0,female,1
VENTURE,24.0,male,1
EDUCATION,23.0,male,0
PERSONAL,22.0,male,0
VENTURE,22.0,male,1
EDUCATION,26.0,male,0
VENTURE,22.0,female,1
HOMEIMPROVEMENT,24.0,female,0
VENTURE,22.0,female,1
VENTURE,26.0,female,1
PERSONAL,23.0,male,0
HOMEIMPROVEMENT,26.0,female,0
EDUCATION,25.0,female,0
PERSONAL,22.0,female,0
HOMEIMPROVEMENT,25.0,female,0
VENTURE,23.0,male,1
MEDICAL,22.0,female,0
HOMEIMPROVEMENT,25.0,female,0
EDUCATION,24.0,female,0
HOMEIMPROVEMENT,24.0,female,0
DEBTCONSOLIDATION,24.0,female,0
PERSONAL,21.0,female,0
HOMEIMPROVEMENT,24.0,female,0
