person_home_ownership,loan_amnt,loan_status
MORTGAGE,35000.0,1
RENT,18000.0,1
RENT,24250.0,1
RENT,21700.0,1
RENT,25000.0,1
RENT,25000.0,1
OWN,2100.0,0
RENT,20000.0,1
RENT,21000.0,1
RENT,19900.0,1
MORTGAGE,4800.0,0
RENT,24500.0,1
RENT,20000.0,1
RENT,20000.0,1
RENT,20000.0,1
RENT,20000.0,1
RENT,24000.0,1
RENT,20000.0,1
RENT,24250.0,1
RENT,24000.0,1
OWN,2500.0,0
RENT,18000.0,1
RENT,25000.0,1
OWN,15000.0,0
OWN,3000.0,0
RENT,25000.0,1
MORTGAGE,3600.0,0
RENT,30000.0,1
MORTGAGE,15000.0,0
RENT,9000.0,1
OWN,1275.0,0
RENT,28000.0,1
RENT,18000.0,1
RENT,20000.0,1
RENT,20000.0,1
RENT,30000.0,1
RENT,18000.0,1
OWN,6000.0,0
RENT,27000.0,1
RENT,25300.0,1
RENT,21000.0,1
RENT,20000.0,1
RENT,24000.0,1
MORTGAGE,1000.0,0
RENT,20000.0,1
OWN,12000.0,0
MORTGAGE,12000.0,0
OWN,35000.0,1
RENT,20000.0,1
MORTGAGE,20000.0,1
RENT,21000.0,1
MORTGAGE,20000.0,1
RENT,19000.0,1
RENT,25000.0,1
RENT,25000.0,1
RENT,10000.0,1
RENT,21000.0,1
RENT,25000.0,1
OWN,4200.0,0
RENT,20000.0,1
